station_code,location,state,temperature_c,do_mg_l,ph,conductivity_umhos_cm,bod_mg_l,nitrate_nitrite_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,year
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,27.786,7.075,7.25,107.3,0.988,0.369,238.0,384.0,2006
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,28.143,7.013,6.712,151.4,1.4,0.397,262.0,485.0,2006
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.5,6.787,6.65,119.3,1.637,0.4,294.0,574.0,2006
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,28.571,4.1,6.775,511.4,6.788,1.373,2150.0,3100.0,2006
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.0,6.9,6.8,224.0,0.733,0.438,2000.0,2500.0,2006
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,26.5,6.867,6.833,292.7,0.633,0.575,1900.0,2400.0,2006
1565,"PAMBA DOWN, KERALA",KERALA,26.25,6.467,6.6,240.0,1.033,0.66,2100.0,2733.0,2006
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,26.75,6.667,6.933,268.0,0.933,0.893,2333.0,3300.0,2006
1340,"MANIMALA AT KALLOOPARA, KERALA",KERALA,26.75,6.967,6.933,268.0,0.833,0.4,1600.0,2233.0,2006
1384,"MANIMALA AT THONDRA, KERALA",KERALA,26.5,6.733,6.867,324.0,0.933,0.455,1973.0,2233.0,2006
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,27.0,6.714,6.957,143.4,0.671,0.449,1457.0,2171.0,2006
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,26.75,6.733,6.733,242.7,0.9,0.743,1867.0,2833.0,2006
1442,"VAMANAPURAM, KERALA",KERALA,28.0,7.233,6.867,75.7,1.1,0.853,1600.0,2300.0,2006
1563,"AMARAVILA, KERALA",KERALA,27.0,6.233,6.9,104.7,0.867,1.267,1300.0,2233.0,2006
1564,"AYUR, KERALA",KERALA,28.5,6.867,7.067,336.7,0.533,0.285,60.0,455.0,2006
1566,"THIRURANGADY, KERALA",KERALA,28.5,6.433,6.667,339.3,0.6,0.292,440.0,967.0,2006
